network,station,latitude,longitude,elevation_m,basin_name,huc_code,huc_name,start_date,end_date
UW,BST15,47.57601,-122.22544,92.9,Lake Washington,17110012,Lake Washington,2019-06-07T16:00:00.000000Z,2019-07-01T04:00:00.000000Z
UW,BST16,47.54494,-122.54952,63.2,,,,2019-06-12T18:00:00.000000Z,2019-10-10T17:00:00.000000Z
UW,BST17,47.49527,-122.47163,98.8,,,,2019-06-12T21:00:00.000000Z,2019-07-01T21:00:00.000000Z
UW,BST18,47.49258,-122.31306,124.5,,,,2019-06-12T23:00:00.000000Z,2019-07-01T22:00:00.000000Z
UW,BST19,47.62059,-122.90899,98.1,,,,2019-07-02T17:00:00.000000Z,2019-10-10T19:00:00.000000Z
UW,BST20,47.65499,-122.74894,99.4,,,,2019-07-02T18:00:00.000000Z,2019-10-10T18:00:00.000000Z
UW,BST21,47.39922,-123.02823,127.4,,,,2019-07-02T20:00:00.000000Z,2019-10-10T22:00:00.000000Z
UW,BST22,47.42738,-122.88477,6.0,,,,2019-07-02T21:00:00.000000Z,2020-01-09T22:00:00.000000Z
UW,BST23,47.49984,-123.06898,161.8,,,,2019-07-02T23:00:00.000000Z,2019-10-10T23:00:00.000000Z
UW,BST24,47.441253,-122.189959,146.6,Duwamish,17110013,Duwamish,2019-10-19T20:00:00.000000Z,2019-12-18T21:00:00.000000Z
UW,BST25,47.304283,-122.113795,123.4,Duwamish,17110013,Duwamish,2019-10-19T21:00:00.000000Z,2019-12-18T20:00:00.000000Z
UW,BST26,47.172806,-122.269242,121.2,Puyallup,17110014,Puyallup,2019-10-19T22:00:00.000000Z,2019-12-18T19:00:00.000000Z
UW,BST28,47.349513,-122.269701,96.2,Duwamish,17110013,Duwamish,2019-10-19T23:00:00.000000Z,2019-12-18T19:00:00.000000Z
UW,BST29,47.707245,-122.223013,95.5,Lake Washington,17110012,Lake Washington,2019-12-20T19:00:00.000000Z,2020-07-08T00:00:00.000000Z
UW,BST30,47.731972,-122.123401,126.4,Lake Washington,17110012,Lake Washington,2019-12-20T21:00:00.000000Z,2020-07-08T00:00:00.000000Z
UW,BTHL,47.79122,-122.23848,147.5,Lake Washington,17110012,Lake Washington,2020-08-04T00:00:00.000000Z,
UW,BUCKS,48.15541,-123.83423,37.2,,,,2023-09-17T00:00:00.000000Z,
UW,BURLY,46.4075,-121.86625,1616.0,Cowlitz,17080004,Upper Cowlitz,2025-08-25T00:00:00.000000Z,
UW,CBS,47.80469,-120.04285,1067.0,,,,1987-12-07T00:00:00.000000Z,
UW,CBW,47.806938,-120.033852,1160.0,,,,1975-07-01T00:00:00.000000Z,1987-12-07T23:59:59.000000Z
UW,CCFR,45.83798,-122.55889,118.4,,,,2022-04-13T00:00:00.000000Z,
UW,CDF,46.11712,-122.04625,772.0,,,,1980-03-29T00:00:00.000000Z,
UW,CDMR,47.42226,-121.75779,478.0,Snoqualmie,17110010,Snoqualmie,2008-12-23T00:00:00.000000Z,
UW,CHELN,47.83453,-120.00951,330.4,,,,2023-07-19T00:00:00.000000Z,
UW,CHIMA,48.01051,-122.78058,38.4,,,,2021-05-12T00:00:00.000000Z,
UW,CINE,46.5566,-122.5673,203.4,Cowlitz,17080005,Lower Cowlitz,2019-05-06T00:00:00.000000Z,
UW,CMK,46.934479,-121.229782,1380.0,,,,1995-10-06T00:00:00.000000Z,1996-07-16T23:59:59.000000Z
UW,CMM,46.435108,-122.50705,620.0,Cowlitz,17080005,Lower Cowlitz,1980-04-04T00:00:00.000000Z,2004-10-04T00:00:00.000000Z
UW,CMW,48.423519,-122.120262,1190.0,Skagit,17110007,Lower Skagit,1986-06-03T00:00:00.000000Z,2019-11-21T00:00:00.000000Z
UW,CNNB,45.8881,-123.9605,13.0,,,,2015-08-13T00:00:00.000000Z,
UW,CONW,48.33963,-122.31873,22.5,Skagit,17110007,Lower Skagit,2021-08-25T00:00:00.000000Z,
UW,COOM,47.1731,-122.57062,99.7,,,,2021-01-13T00:00:00.000000Z,
UW,CORE,46.925789,-123.916045,46.1,,,,2015-08-04T00:00:00.000000Z,
UW,COW,46.490829,-122.013321,305.0,Cowlitz,17080004,Upper Cowlitz,1980-03-27T00:00:00.000000Z,1989-10-04T23:59:59.000000Z
UW,COWL,46.48204,-122.66461,182.7,Cowlitz,17080005,Lower Cowlitz,2022-07-24T18:00:00.000000Z,
UW,COWS,47.6656,-121.93075,133.2,Snoqualmie,17110010,Snoqualmie,2021-08-31T00:00:00.000000Z,
UW,COYL,47.69711,-122.78816,95.9,,,,2022-02-07T00:00:00.000000Z,
UW,CPARK,46.96754,-123.69793,33.0,,,,2021-07-16T00:00:00.000000Z,
UW,CPW,46.9733,-123.13822,810.1,,,,1970-07-01T00:00:00.000000Z,
UW,CROWN,48.30293,-124.47884,399.4,,,,2022-06-23T00:00:00.000000Z,
UW,CSEN,47.801239,-122.218483,55.0,Lake Washington,17110012,Lake Washington,2000-07-25T00:00:00.000000Z,2002-02-13T00:00:00.000000Z
UW,CTR,47.6207,-122.3514,43.0,Lake Washington,17110012,Lake Washington,2017-05-31T00:00:00.000000Z,2021-06-03T19:00:00.000000Z
UW,CTR,47.62173,-122.34975,37.0,Lake Washington,17110012,Lake Washington,2021-06-03T19:00:00.000000Z,
UW,CUBS,47.40731,-122.01427,177.0,Lake Washington,17110012,Lake Washington,2022-01-14T00:00:00.000000Z,
UW,CUGR,48.1427,-122.21714,57.6,Snohomish,17110011,Snohomish,2020-08-06T00:00:00.000000Z,
UW,CWC,46.279171,-122.278,683.0,Cowlitz,17080005,Lower Cowlitz,1980-03-24T00:00:00.000000Z,1980-05-19T00:00:00.000000Z
UW,CWFG,48.0923,-122.58246,92.7,,,,2020-04-12T00:00:00.000000Z,
UW,DART,48.24334,-121.60411,176.3,,,,2023-02-09T00:00:00.000000Z,
UW,DAYT,47.22785,-123.22665,79.3,,,,2021-05-17T00:00:00.000000Z,
UW,DEAL,46.741,-123.55886,322.7,,,,2021-04-05T00:00:00.000000Z,
UW,DIG,46.21233,-122.187042,1800.0,Cowlitz,17080005,Lower Cowlitz,1985-05-01T00:00:00.000000Z,1985-11-01T23:59:59.000000Z
UW,DIO,46.200668,-122.190369,2102.0,Cowlitz,17080005,Lower Cowlitz,1986-08-01T00:00:00.000000Z,1986-10-31T23:59:59.000000Z
UW,DLR,47.10265,-121.568619,1190.0,Puyallup,17110014,Puyallup,1995-04-07T00:00:00.000000Z,1995-09-19T23:59:59.000000Z
UW,DLTA,48.93608,-122.57398,23.4,,,,2021-01-19T00:00:00.000000Z,
UW,DMNG,48.82545,-122.21451,62.8,Nooksack,17110004,Nooksack,2021-08-05T00:00:00.000000Z,
UW,DOG,46.206001,-122.176208,2317.0,Cowlitz,17080005,Lower Cowlitz,1980-05-04T00:00:00.000000Z,1980-05-29T00:00:00.000000Z
UW,DONK,48.42384,-122.15673,892.8,Skagit,17110007,Lower Skagit,2019-08-29T00:00:00.000000Z,
UW,DOORS,47.05461,-123.25726,133.2,,,,2021-09-22T00:00:00.000000Z,
UW,DOSE,47.7172,-122.9718,53.3,,,,2010-07-21T00:00:00.000000Z,
UW,DOTY,46.70464,-123.36923,429.8,,,,2021-05-19T00:00:00.000000Z,
UW,DREAM,48.30904,-120.65495,370.5,,,,2025-05-01T00:00:00.000000Z,
UW,DREG,45.5678,-122.715,11.3,,,,2017-10-03T00:00:00.000000Z,
UW,DUPO,47.10625,-122.646,68.9,,,,2022-12-09T00:00:00.000000Z,
UW,EAGLE,47.25772,-122.9985,58.3,,,,2021-11-13T00:00:00.000000Z,
UW,EARN,47.7409,-122.0438,159.0,Lake Washington,17110012,Lake Washington,2000-07-01T00:00:00.000000Z,
UW,EDM,46.19717,-122.15121,1611.0,,,,1980-06-01T00:00:00.000000Z,
UW,EDSN,48.56202,-122.43611,3.1,,,,2020-08-05T00:00:00.000000Z,
UW,EGRN,47.072342,-122.974178,55.0,,,,2001-07-01T00:00:00.000000Z,
UW,ELGR,48.145155,-122.46761,55.8,,,,2020-05-28T00:00:00.000000Z,
UW,ELK,46.30597,-122.34167,1270.0,Cowlitz,17080005,Lower Cowlitz,1980-05-16T00:00:00.000000Z,
UW,ELL,46.90951,-120.56751,789.0,,,,1979-11-24T00:00:00.000000Z,
UW,ELW,47.494099,-121.872673,320.0,Snoqualmie,17110010,Snoqualmie,1998-07-07T00:00:00.000000Z,
UW,EQ1,47.760559,-121.86528,250.0,Snoqualmie,17110010,Snoqualmie,1996-04-30T00:00:00.000000Z,1996-06-27T00:00:00.000000Z
UW,EQUIL,47.83516,-122.85408,26.2,,,,2022-10-08T00:00:00.000000Z,
UW,ERIE,48.42941,-122.60657,26.8,,,,2020-08-06T00:00:00.000000Z,
UW,ERW,48.453827,-122.626121,387.0,,,,1997-12-01T00:00:00.000000Z,
UW,EST,47.237839,-121.20726,756.0,,,,1979-06-01T00:00:00.000000Z,1986-10-28T00:00:00.000000Z
UW,ETT,47.65485,-120.294518,439.0,,,,1977-06-15T00:00:00.000000Z,1986-10-02T00:00:00.000000Z
UW,ETW,47.60451,-120.33265,1474.7,,,,1986-10-01T00:00:00.000000Z,
UW,EVCC,48.006317,-122.20365,38.0,,,,2001-08-28T00:00:00.000000Z,
UW,EVGW,47.85422,-122.15462,152.4,Lake Washington,17110012,Lake Washington,2001-07-01T00:00:00.000000Z,
UW,FALCO,45.70452,-122.5548,86.2,,,,2022-05-03T00:00:00.000000Z,
UW,FGM,47.07563,-121.76387,1158.0,Puyallup,17110014,Puyallup,1995-05-20T00:00:00.000000Z,1995-09-19T23:59:59.000000Z
UW,FINN,47.71932,-122.23344,117.88,Lake Washington,17110012,Lake Washington,2000-07-05T00:00:00.000000Z,2011-06-29T00:00:00.000000Z
UW,FINN,47.72033,-122.23027,122.4,Lake Washington,17110012,Lake Washington,2011-12-07T00:00:00.000000Z,
UW,FISH,45.9306,-123.5591,327.0,,,,2005-11-08T00:00:00.000000Z,2021-06-22T18:57:00.000000Z
UW,FISH2,45.92751,-123.49937,146.3,,,,2020-05-21T00:00:00.000000Z,
